Proposicoes,Ementa,Autor,UF,Partido,Apresentscao,Situacao,Link,Codfificacao Georgia,Codificacao Flavia,Codfificacao por busca de palavras,pandemia,covid,coronav,emergencial,calamidade
MPV 959/2020,"Estabelece a operacionalização do pagamento do Benefício Emergencial de Preservação do Emprego e da Renda e do benefício emergencial mensal de que trata a Medida Provisória nº 936, de 1º de abril de 2020, e prorroga a vacatio legis da Lei nº 13.709, de 14 de agosto de 2018, que estabelece a Lei Geral de Proteção de Dados Pessoais - LGPD.

NOVA EMENTA: Estabelece a operacionalização do pagamento do Benefício Emergencial de Preservação do Emprego e da Renda e do benefício emergencial mensal de que trata a Lei nº 14.020, de 6 de julho de 2020; e altera a Lei nº 13.709, de 14 de agosto de 2018.",Poder Executivo,,,29/04/2020,Pronta para Pauta,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250977,1,1,1,#VALUE!,#VALUE!,#VALUE!,58,#VALUE!
PL 2220/2020,"Altera a Lei nº 13.982, de 2 de abril de 2020, para garantir que o auxílio emergencial seja devido ao beneficiário desde a data do requerimento, que o requerimento seja analisado em até três dias, e estabelecer multa de 10% e correção monetária quando o primeiro pagamento não ocorrer nos prazos definidos nesta lei. ",Fernanda Melchionna;Glauber Braga;Marcelo Freixo;Edmilson Rodrigues;David Miranda;Ivan Valente;Sâmia Bomfim;Luiza Erundina;Talíria Petrone;Áurea Carolina,RS;RJ;RJ;PA;RJ;SP;SP;SP;RJ;MG,PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL,27/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250700,1,1,1,#VALUE!,#VALUE!,#VALUE!,76,#VALUE!
PL 1780/2020,"Altera a Lei nº 13.979, de 6 de fevereiro de 2020, para dispor sobre a realização emergencial do Exame Nacional de Revalidação de Diplomas Médicos Expedidos por Instituição de Educação Superior Estrangeira (REVALIDA) durante a pandemia causada pelo novo coronavírus.",Jorge Solla;Patricia Ferraz;Margarida Salomão;Alexandre Padilha;Patrus Ananias;Nilto Tatto;João Daniel;José Guimarães;Zeca Dirceu;Professora Rosa Neide;Célio Moura;Gleisi Hoffmann;Paulo Pimenta;Carlos Veras;Frei Anastacio Ribeiro;Erika Kokay;José Ricardo;Paulo Teixeira;Padre João;Pedro Uczai,BA;AP;MG;SP;MG;SP;SE;CE;PR;MT;TO;PR;RS;PE;PB;DF;AM;SP;MG;SC,PT;PODE;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT,10/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2247362,1,1,1,228,#VALUE!,255,83,#VALUE!
PL 1779/2020,"Altera a Lei n. 13.982, de 2 abril de 2020, para garantir o direito de recebimento do auxílio emergencial aos beneficiários cuja situação cadastral do CPF conste como suspensa ou pendente de regularização nos arquivos da Receita Federal do Brasil.",Carlos Jordy;Filipe Barros;Luis Miranda,RJ;PR;DF,PSL;PSL;DEM,09/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2247360,1,1,1,#VALUE!,#VALUE!,#VALUE!,95,#VALUE!
PL 2283/2020,"Altera a Lei nº 13.982, de 2 de abril de 2020, para aumentar o período de concessão do auxílio emergencial.",Gleisi Hoffmann;Arlindo Chinaglia;Henrique Fontana;Paulo Pimenta;Maria do Rosário;Vicentinho;Odair Cunha;Reginaldo Lopes;Patrus Ananias;Leonardo Monteiro;Vander Loubet;Rubens Otoni;Beto Faro;José Airton Félix Cirilo;José Guimarães;Paulo Teixeira;Carlos Zarattini;Erika Kokay;Padre João;Assis Carvalho;Zeca Dirceu;Bohn Gass;Marcon;Pedro Uczai;Paulão;Margarida Salomão;Rogério Correia;Rui Falcão;Luizianne Lins;Helder Salomão;Rejane Dias;Enio Verri;João Daniel;Nilto Tatto;Paulo Guedes;Airton Faleiro;Frei Anastacio Ribeiro;Alencar Santana Braga;Alexandre Padilha;Carlos Veras;Marília Arraes;Natália Bonavides;Célio Moura;Professora Rosa Neide;Valmir Assunção;Waldenor Pereira;Jorge Solla;Zé Carlos;José Ricardo;Benedita da Silva;Joseildo Ramos,PR;SP;RS;RS;RS;SP;MG;MG;MG;MG;MS;GO;PA;CE;CE;SP;SP;DF;MG;PI;PR;RS;RS;SC;AL;MG;MG;SP;CE;ES;PI;PR;SE;SP;MG;PA;PB;SP;SP;PE;PE;RN;TO;MT;BA;BA;BA;MA;AM;RJ;BA,PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT,29/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250863,1,1,1,#VALUE!,#VALUE!,#VALUE!,96,#VALUE!
PL 1695/2020,"Inclui o art. 19-A na Lei nº 10.696, de 2 de julho de 2003, para instituir o Programa de Aquisição de Alimentos - PAA Emergencial, enquanto durar a situação de emergência de saúde pública de que trata a Lei nº 13.979, de 6 de fevereiro de 2020.",Zé Silva;Arnaldo Jardim,MG;SP,SOLIDARI;CIDADANIA,07/04/2020,Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244947,1,1,1,#VALUE!,#VALUE!,#VALUE!,119,#VALUE!
PL 1745/2020,Concede a redução proporcional das obrigações assumidas antes de 20/03/2020 aos trabalhadores contemplados pelo Benefício Emergencial de Preservação do Emprego e da Renda – MP 936/2020 - ,Francisco Jr.,GO,PSD,09/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2247061,1,1,1,#VALUE!,#VALUE!,#VALUE!,123,#VALUE!
PL 1703/2020,"""Altera a Lei nº 13.982, de 2 de abril de 2020, para vedar o desconto dos valores do benefício de Renda Básica de Cidadania Emergencial para a quitação de dívidas preexistentes com instituições bancárias"".",Alencar Santana Braga,SP,PT,07/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244957,1,1,1,#VALUE!,#VALUE!,#VALUE!,125,#VALUE!
PL 1786/2020,"Altera a Lei nº 13.982, de 02 de abril de 2010, para possibilitar a substituição do Cadastro de Pessoa Física - CPF por outro documento oficial ou por outras formas de identificação dos beneficiários do auxílio emergencial, e da outras providências.",Júnior Ferrari,PA,PSD,10/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2247368,1,1,1,#VALUE!,#VALUE!,#VALUE!,212,#VALUE!
PL 1671/2020,"Acrescenta os artigos 2°-A e 2o-B a Lei n ° 13.982, de 02 de abril de 2020, para  proibir a cobrança de qualquer tipo de taxa ou dívidas, por instituições bancárias, sobre os créditos decorrentes dos depósitos da Renda Básica Emergencial.",Marcelo Freixo;Orlando Silva,RJ;SP,PSOL;PCdoB,07/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244902,1,1,1,#VALUE!,#VALUE!,#VALUE!,227,#VALUE!
PL 1511/2020,"Altera a Lei n. 13.979, de 6 de fevereiro de 2020, para fixar em cem por cento o desconto aplicável aos usuários de baixa renda dos serviços de distribuição de energia elétrica e de abastecimento de água e esgotamento sanitário e proíbe a suspensão do fornecimento desses serviços por inadimplemento dos usuários residenciais enquanto persistir a situação emergencial decorrente da covid-19.",Ted Conti,ES,PSB,03/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242872,1,1,1,#VALUE!,383,#VALUE!,357,#VALUE!
PL 2294/2020,"Dispõe sobre a flexibilização de regras e normas técnicas e operacionais relativizando as exigências previstas na Lei 6.360/76, na Resolução de Diretoria Colegiada - RDC nº 185, de 22 de outubro de 2001, Resolução de Diretoria Colegiada - RDC nº 10, de 20 de fevereiro de 2015 e na Resolução de Diretoria Colegiada - RDC nº 40, de 26 de agosto de 2015, bem como demais normas técnicas da ANVISA para fabricação e comercialização de ventiladores pulmonares durante o período da pandemia do COVID-19.

NOVA EMENTA: Dispõe sobre o regime extraordinário e temporário de autorização de regras e normas técnicas e operacionais simplificadas da Agência Nacional de Vigilância Sanitária (Anvisa) para autorizar a fabricação e a comercialização de equipamentos ventiladores pulmonares e equipamentos de suporte respiratório emergencial durante o período de pandemia da Covid-19; estabelece procedimento simplificado de certificação pela Anvisa; e dá outras providências.",Carlos Chiodini,SC,MDB,29/04/2020,Aguardando Apreciação pelo Senado Federal,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250883,1,1,1,478,490,#VALUE!,816,#VALUE!
PL 1612/2020,Classifica como acidente de trabalho a contaminação pelo Coronavírus dos profissionais de saúde ou operadores de atividades essenciais. ,Pastor Gil,MA,PL,06/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244102,1,1,1,#VALUE!,#VALUE!,58,#VALUE!,#VALUE!
PL 1517/2020,"Isenta a cobrança de pedágio, enquanto durar a pandemia do novo coronavírus, nas rodovias estaduais e federais em todo território nacional para os caminhoneiros e para os profissionais considerados essenciais envolvidos no combate direto do COVID-19, quando legitimados pelas autoridades governamentais e Ministério da Saúde.",Pastor Sargento Isidório,BA,AVANTE,03/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243030,1,1,1,48,242,65,#VALUE!,#VALUE!
PL 1976/2020,Autoriza as farmácias a realizarem testes rápidos para detecção de coronavírus.,Adriana Ventura;Dra. Soraya Manato;Rodrigo Coelho,SP;ES;SC,NOVO;PSL;PSB,16/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2249892,1,1,1,#VALUE!,#VALUE!,68,#VALUE!,#VALUE!
PL 2165/2020,Reconhece a causa da morte de Agentes de Segurança Pública pelo novo Coronavírus (COVID-19) como ato ou fato acontecido em serviço ou em decorrência dele.,Daniel Silveira,RJ,PSL,23/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250568,1,1,1,#VALUE!,83,70,#VALUE!,#VALUE!
PL 2093/2020,"Altera a Lei nº 8.245, de 18 de outubro de 1991, durante a pandemia do novo coronavírus (COVID-19), para suspender o cumprimento de sentença das ações de despejo até 31 de outubro de 2020.",Fausto Pinato,SP,PP,22/04/2020,Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250380,1,1,1,60,90,77,#VALUE!,#VALUE!
PL 2078/2020,"""Altera a Lei nº 8.245, de 18 de outubro de 1991, durante a pandemia do novo coronavírus (COVID-19), para estabelecer a suspensão do pagamento do Fundo de Promoção aos shoppings centers."" ",Fausto Pinato,SP,PP,22/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250319,1,1,1,61,91,78,#VALUE!,#VALUE!
PL 1383/2020,Autoriza a prescrição da ozonioterapia em todo o território nacional para os casos de Coronavírus (COVID-19). ,Paula Belmonte,DF,CIDADANIA,01/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242649,1,1,1,#VALUE!,100,87,#VALUE!,#VALUE!
PL 1559/2020,Dispõe sobre medidas de proteção às entidades do terceiro setor durante a pandemia do coronavírus.,Geovania de Sá,SC,PSDB,03/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243077,1,1,1,75,#VALUE!,87,#VALUE!,#VALUE!
PL 1509/2020,"Suspende por 120 dias a exigibilidade de tributos federais no período de surto do novo coronavírus (covid-19) para as instituições de ensino privadas, que se abstiverem de aplicar às mensalidades multa, juros e outras sanções, dentre outras providências.",Talíria Petrone;Margarida Salomão,RJ;MG,PSOL;PT,03/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242870,1,1,1,#VALUE!,101,88,#VALUE!,#VALUE!
PL 2160/2020,Dispõe sobre medidas urgentíssimas de apoio às comunidades quilombolas em razão do novo coronavírus (Covid-19). ,Bira do Pindaré;Alessandro Molon;Aliel Machado;Camilo Capiberibe;Carlos Veras;Danilo Cabral;David Miranda;Denis Bezerra;Gervásio Maia;Lídice da Mata;Marcelo Freixo;Márcio Jerry;Mauro Nazif;Talíria Petrone;Ted Conti;Vilson da Fetaemg,MA;RJ;PR;AP;PE;PE;RJ;CE;PB;BA;RJ;MA;RO;RJ;ES;MG,PSB;PSB;PSB;PSB;PT;PSB;PSOL;PSB;PSB;PSB;PSOL;PCdoB;PSB;PSOL;PSB;PSB,24/04/2020,Arquivada,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250560,1,1,1,#VALUE!,102,89,#VALUE!,#VALUE!
PL 2116/2020,"Institui indenização e pensão especial para servidores da segurança pública vitimados pelo Coronavírus (Covid-19), durante a situação de Emergência em Saúde Pública de importância Nacional (ESPIN).",Nicoletti,RR,PSL,23/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250424,1,1,1,#VALUE!,105,92,#VALUE!,#VALUE!
PL 2297/2020,Prorroga o prazo de validade das procurações públicas que tenham vencimento durante a pandemia de coronavírus.,Fred Costa,MG,PATRIOTA,29/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250889,1,1,1,87,#VALUE!,99,#VALUE!,#VALUE!
PL 1781/2020,"Altera a Lei no 11.101, de 9 de fevereiro de 2005, para, em virtude da pandemia ocasionada pelo novo coronavírus, criar regras transitórias ao processo de recuperação  judicial do empresario, da EIRELI e da sociedade empresária.",Domingos Neto,CE,PSD,10/04/2020,Arquivada,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2247363,1,1,1,72,#VALUE!,102,#VALUE!,#VALUE!
PL 2110/2020,"Dispõe sobre a publicação de dados acerca da quantidade de testes rápidos e laboratoriais de detecção do Coronavírus Disease 2019 (COVID-19) enviados a cada um dos Municípios brasileiros, durante o enfrentamento da epidemia, e dá outras providências.",Miguel Lombardi,SP,PL,23/04/2020,Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250419,1,1,1,#VALUE!,132,106,#VALUE!,#VALUE!
PL 2282/2020,Dispõe sobre desconto de 40% em mensalidades da rede privada de ensino durante o período de pandemia do novo coronavírus.,Marreca Filho,MA,PATRIOTA,29/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250862,1,1,1,93,#VALUE!,110,#VALUE!,#VALUE!
PL 1923/2020,Dispõe sobre a redução proporcional das mensalidades da rede privada de ensino durante o Plano de Contingência do coronavírus – COVID-19.,Rejane Dias,PI,PT,15/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2248308,1,1,1,#VALUE!,129,115,#VALUE!,#VALUE!
PL 1754/2020,"Dispõe sobre a suspensão temporária, pelo período de duração das medidas de emergência sanitária de combate ao novo coronavírus (Covid-19), do pagamento de encargos educacionais, juros e multa por atraso de pagamento por parte dos estudantes beneficiários do Financiamento Estudantil (Fies) estabelecido na Lei nº 10.260, de 12 de julho de 2001",Luis Miranda,DF,DEM,09/04/2020,Arquivada,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2247081,1,1,1,#VALUE!,130,117,#VALUE!,#VALUE!
PL 2271/2020,"Altera a Lei nº 13.989, de 15 de abril de 2020, que dispõe sobre o uso da telemedicina durante a crise causada pelo coronavírus (SARS-CoV-2), para tratar do uso da telemedicina na Saúde Suplementar e no seguimento clínico de pacientes do Sistema Único de Saúde",Carmen Zanotto;Dra. Soraya Manato,SC;ES,CIDADANIA;PSL,28/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250828,1,1,1,#VALUE!,#VALUE!,117,#VALUE!,#VALUE!
PL 1999/2020,"Altera a Lei nº 13.989, de 15 de abril de 2020, que dispõe sobre o uso da telemedicina durante a crise causada pelo coronavírus (SARS-CoV-2), para autorizar a emissão de receituário pelo médico da telemedicina. ",Luis Tibé,MG,AVANTE,17/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2249926,1,1,1,#VALUE!,#VALUE!,117,#VALUE!,#VALUE!
PL 1864/2020,Dispensa a apresentação de pedido médico para a realização de exame laboratorial em rede particular para detecção do Coronavírus.,Marreca Filho,MA,PATRIOTA,14/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2248045,1,1,1,#VALUE!,#VALUE!,118,#VALUE!,#VALUE!
PL 2136/2020,"Dispõe sobre a visita virtual, por meio de videochamadas, de familiares a pacientes internados em decorrência do novo coronavírus (COVID-19)",Célio Studart,CE,PV,23/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250454,1,1,1,#VALUE!,132,119,#VALUE!,#VALUE!
PL 1983/2020,"Dispõe sobre a flexibilização das obrigações de locatários que tenham sofrido perda de renda decorrente de pandemia do Coronavírus (Covid-19) e altera a Lei nº 12.529, de 30 de novembro de 2011, para, provisoriamente, descaracterizar determinadas condutas como infração da ordem econômica. ",Gil Cutrim,MA,PDT,16/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2249900,1,1,1,108,133,120,#VALUE!,#VALUE!
PL 1835/2020,"Dispõe sobre o Programa de entrega domiciliar de medicamentos às pessoas que pertencem ao grupo de risco de contagio do Coronavírus, e dá outras providências.",Sebastião Oliveira,PE,PL,13/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2247997,1,1,1,#VALUE!,#VALUE!,121,#VALUE!,#VALUE!
MPV 958/2020,"Estabelece normas para a facilitação do acesso ao crédito e mitigação dos impactos econômicos decorrentes da pandemia de coronavírus (covid-19).

NOVA EMENTA: Estabelece normas para facilitar o acesso ao crédito com o objetivo de mitigar os impactos econômicos decorrentes da pandemia da Covid-19; altera o Decreto-Lei nº 167, de 14 de fevereiro de 1967, e a Lei nº 10.169, de 29 de dezembro de 2000; e revoga dispositivo da Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil)",Poder Executivo,,,27/04/2020,Aguardando Apreciação pelo Senado Federal,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250602,1,1,1,110,135,122,#VALUE!,#VALUE!
PL 2056/2020,"Dispõe sobre ações de proteção a profissionais da saúde e atividades auxiliares essenciais no enfrentamento à pandemia de Coronavirus (COVID-19), enquanto durarem os efeitos do Decreto Legislativo nº 06, de 20 de março de 2020.",Fernanda Melchionna;Sâmia Bomfim;Reginaldo Lopes;Luiza Erundina;Ivan Valente;David Miranda,RS;SP;MG;SP;SP;RJ,PSOL;PSOL;PT;PSOL;PSOL;PSOL,20/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250205,1,1,1,111,136,123,#VALUE!,#VALUE!
PL 2138/2020,"Dispõe sobre a obrigatoriedade de uso de máscara de proteção e outros recursos necessários à prevenção da disseminação do Coronavírus causador da COVID-19 e de outras doenças respiratórias, como a gripe, nos órgãos, entidades, estabelecimentos e serviços que menciona.",Weliton Prado,MG,PROS,23/04/2020,Arquivada,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250460,1,1,1,#VALUE!,147,123,#VALUE!,#VALUE!
PL 1527/2020,Estabelece pena de detenção para o crime de aumento abusivo de preços de produtos destinados a evitar a contaminação pelo coronavírus.,Fred Costa,MG,PATRIOTA,03/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243026,1,1,1,#VALUE!,#VALUE!,123,#VALUE!,#VALUE!
PL 1760/2020,"Dispõe sobre a proibição de tarifa de iluminação pública aos municípios no período em que durar a pandemia do decorrente do coronavírus (covid-19), e dá outras providências. ",Marcão Gomes,RJ,PL,09/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2247331,1,1,1,99,138,125,#VALUE!,#VALUE!
PL 1508/2020,Dispõe sobre a isenção da cobrança de pedágio durante o período de enfrentamento da emergência de saúde pública decorrente do coronavírus e dá outras providências.,Geovania de Sá,SC,PSDB,03/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242863,1,1,1,#VALUE!,#VALUE!,127,#VALUE!,#VALUE!
PL 2203/2020,"Tipifica como crime contra as relações de consumo o aumento abusivo de preços cobrados aos consumidores em razão da pandemia do coronavírus, COVID19.",Jaqueline Cassol,RO,PP,27/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250649,1,1,1,117,142,129,#VALUE!,#VALUE!
PL 1456/2020,"Assegura a manutenção de bolsas e auxílios aos estudantes das instituições federais de educação superior, durante a pandemia de coronavírus.",José Guimarães,CE,PT,02/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242778,1,1,1,117,#VALUE!,129,#VALUE!,#VALUE!
PL 1571/2020,"Dispõe sobre o corte de 50% dos salários de todos os políticos brasileiros, enfim, da elite do funcionalismo público para combate ao coronavírus (COVIDE 19).",Boca Aberta,PR,PROS,06/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243093,1,1,1,#VALUE!,147,134,#VALUE!,#VALUE!
PL 1756/2020,"Altera a lei 13.979, de 06 fevereiro de 2020, para incentivar doações visando o enfrentamento da crise na saúde pública decorrente do Coronavírus.",Roberto Pessoa,CE,PSDB,09/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2247088,1,1,1,#VALUE!,#VALUE!,135,#VALUE!,#VALUE!
PL 2170/2020,"Estabelece benefícios compensatórios aos trabalhadores da área da saúde e atividades essenciais que atuem ou tenham atuado no combate ao coronavírus (COVID-19) durante a vigência do estado de emergência de saúde pública a que se refere a Lei n. 13.979, de 6 de fevereiro de 2020.
",Bira do Pindaré;Alessandro Molon;Aliel Machado;Danilo Cabral;Denis Bezerra;Mauro Nazif;Ted Conti,MA;RJ;PR;PE;CE;RO;ES,PSB;PSB;PSB;PSB;PSB;PSB;PSB,24/04/2020,Aguardando Autorização do Despacho,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250579,1,1,1,#VALUE!,151,138,#VALUE!,#VALUE!
PL 2127/2020,"Dispõe sobre a dedutibilidade das despesas e doações realizadas com o objetivo de prevenir, combater ou reduzir os efeitos da pandemia do Coronavírus (Covid-19) da base de cálculo dos tributos que especifica.",Eduardo Costa,PA,PTB,23/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250437,1,1,1,127,152,139,#VALUE!,#VALUE!
PL 1686/2020,"Dispõe sobre o pagamento de auxílio financeiro para motoristas e entregadores por aplicativos em razão dos efeitos econômicos da pandemia do coronavírus (Covid-19); altera a Lei 13.979, de 6 de fevereiro de 2020 que ""Dispõe sobre as medidas para enfrentamento da emergência de saúde pública de importância internacional decorrente do coronavírus responsável pelo surto de 2019"".",Erika Kokay,DF,PT,07/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244926,1,1,1,130,155,142,#VALUE!,#VALUE!
PL 2269/2020,Dispõe sobre o funcionamento dos serviços essenciais enquanto durar as medidas de enfrentamento da emergência de saúde pública decorrente do coronavírus.,Luis Miranda,DF,DEM,28/04/2020,Retirado pelo Autor,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250826,1,1,1,#VALUE!,#VALUE!,142,#VALUE!,#VALUE!
PL 1499/2020,"Altera a Lei nº 13.979, de 6 de fevereiro de 2020, que dispõesobre as medidas para enfrentamento da emergência de saúde pública decorrente do coronavírus, para dispensar temporariamente o pagamento dos pedágios rodoviários para veículos de carga.",José Guimarães,CE,PT,03/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242854,1,1,1,#VALUE!,#VALUE!,143,#VALUE!,#VALUE!
PL 1978/2020,"Altera a Lei nº 13.979, de 6 de fevereiro de 2020, que dispõe sobre as medidas para enfrentamento da emergência de saúde pública decorrente do coronavírus (Covid-19), para permitir a utilização, pelas operadoras de planos de saúde, de recursos alocados na provisão para eventos/sinistros ocorridos e não avisados (PEONA) para pagamento de prestadores de serviços de saúde, garantindo a manutenção de contratos inadimplentes.",Dr. Luiz Antonio Teixeira Jr.;Carmen Zanotto;Dra. Soraya Manato,RJ;SC;ES,PP;CIDADANIA;PSL,16/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2249894,1,1,1,#VALUE!,157,144,#VALUE!,#VALUE!
PL 1506/2020,Destina recursos provenientes de aplicações de multas e delações premiadas para a aquisição de produtos e equipamentos médicos para o combate ao coronavirus.,Rejane Dias,PI,PT,03/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242861,1,1,1,#VALUE!,#VALUE!,146,#VALUE!,#VALUE!
PL 2291/2020,"Dispõe sobre a destinação dos recursos do Fundo Partidário e do Fundo Eleitoral para ações de prevenção e enfrentamento do Covid-19, da família do coronavírus.",Lincoln Portela,MG,PL,29/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250879,1,1,1,#VALUE!,124,148,#VALUE!,#VALUE!
